# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"09.05.2020 02:30";"11.0";"749.8";"756.9";"100";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 180 м";"9.0";"11.0";
"09.05.2020 02:00";"11.0";"749.8";"756.9";"100";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 210 м";"9.0";"11.0";
"09.05.2020 01:30";"11.0";"749.8";"756.9";"100";"Штиль, безветрие";"0";"";"";"";"Рассеянная (40-50%) 600 м";"8.0";"11.0";
"09.05.2020 01:00";"11.0";"749.8";"756.9";"100";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 900 м";"9.0";"11.0";
"09.05.2020 00:30";"11.0";"749.8";"756.9";"100";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 900 м";"9.0";"11.0";
"09.05.2020 00:00";"11.0";"749.8";"756.9";"100";"Ветер, дующий с северо-северо-востока";"1";"";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"11.0";
"08.05.2020 23:30";"12.0";"749.9";"756.9";"100";"Ветер, дующий с юго-запада";"1";"";"Туман";"";"Незначительная (10-30%) 600 м";"4.5";"12.0";
"08.05.2020 23:00";"12.0";"749.9";"756.9";"100";"Штиль, безветрие";"0";"";"Туман";"";"Незначительная (10-30%) 600 м";"0.8";"12.0";
"08.05.2020 22:30";"12.0";"749.9";"756.9";"100";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 600 м";"2.7";"12.0";
"08.05.2020 22:00";"13.0";"749.9";"756.9";"100";"Штиль, безветрие";"0";"";"Туман";"";"Незначительная (10-30%) 600 м";"1.7";"13.0";
"08.05.2020 21:30";"14.0";"749.9";"756.9";"100";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 600 м";"3.8";"14.0";
"08.05.2020 21:00";"14.0";"749.9";"756.9";"100";"Ветер, дующий с северо-северо-востока";"1";"";"Дымка";"";"Рассеянная (40-50%) 600 м";"5.0";"14.0";
"08.05.2020 20:30";"14.0";"749.9";"756.9";"100";"Ветер, дующий с северо-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"14.0";
"08.05.2020 20:00";"14.0";"749.9";"756.9";"100";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"14.0";
"08.05.2020 19:30";"14.0";"749.2";"756.2";"100";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 510 м";"7.0";"14.0";
"08.05.2020 19:00";"15.0";"749.2";"756.2";"94";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"14.0";
"08.05.2020 18:30";"15.0";"749.2";"756.2";"94";"Ветер, дующий с западо-северо-запада";"1";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"14.0";
"08.05.2020 18:00";"15.0";"749.2";"756.2";"94";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"14.0";
"08.05.2020 17:30";"15.0";"749.2";"756.2";"94";"Переменное направление";"1";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"14.0";
"08.05.2020 17:00";"14.0";"749.9";"756.9";"94";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"10.0 и более";"13.0";
"08.05.2020 16:30";"15.0";"749.9";"756.9";"94";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"10.0 и более";"14.0";
"08.05.2020 16:00";"15.0";"749.2";"756.2";"94";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"10.0 и более";"14.0";
"08.05.2020 15:30";"15.0";"749.2";"756.2";"88";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"10.0 и более";"13.0";
"08.05.2020 15:00";"15.0";"749.2";"756.2";"88";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"10.0 и более";"13.0";
"08.05.2020 14:30";"14.0";"749.2";"756.2";"94";"Ветер, дующий с юго-юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"8.0";"13.0";
"08.05.2020 14:00";"16.0";"749.3";"756.2";"83";"Ветер, дующий с юго-юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"9.0";"13.0";
"08.05.2020 13:30";"18.0";"749.3";"756.2";"73";"Ветер, дующий с юга";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 690 м, кучево-дождевые облака";"10.0 и более";"13.0";
"08.05.2020 13:00";"19.0";"749.3";"756.2";"64";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"12.0";
"08.05.2020 12:30";"19.0";"749.3";"756.2";"60";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"11.0";
"08.05.2020 12:00";"19.0";"749.3";"756.2";"60";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"11.0";
"08.05.2020 11:30";"20.0";"749.4";"756.2";"60";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"08.05.2020 11:00";"19.0";"749.3";"756.2";"60";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 10:30";"19.0";"749.3";"756.2";"60";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 10:00";"18.0";"749.3";"756.2";"64";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 09:30";"18.0";"748.5";"755.4";"64";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 09:00";"18.0";"748.5";"755.4";"64";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 08:30";"17.0";"748.5";"755.4";"68";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"08.05.2020 08:00";"16.0";"748.5";"755.4";"77";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 07:30";"16.0";"748.5";"755.4";"77";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 07:00";"15.0";"748.4";"755.4";"88";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.05.2020 06:30";"15.0";"748.4";"755.4";"88";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"13.0";
"08.05.2020 06:00";"14.0";"747.6";"754.6";"94";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"13.0";
"08.05.2020 05:30";"14.0";"747.6";"754.6";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"08.05.2020 05:00";"13.0";"747.6";"754.6";"94";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"08.05.2020 04:30";"14.0";"747.6";"754.6";"94";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"13.0";
"08.05.2020 04:00";"14.0";"747.6";"754.6";"88";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 03:30";"14.0";"746.9";"753.9";"94";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.05.2020 03:00";"15.0";"747.0";"753.9";"88";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.05.2020 02:30";"15.0";"747.0";"753.9";"82";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 02:00";"15.0";"747.0";"753.9";"82";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 01:30";"15.0";"747.0";"753.9";"82";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"08.05.2020 01:00";"14.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"08.05.2020 00:30";"16.0";"747.0";"753.9";"77";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"08.05.2020 00:00";"15.0";"747.0";"753.9";"88";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"13.0";
"07.05.2020 23:30";"15.0";"747.0";"753.9";"94";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"14.0";
"07.05.2020 23:00";"15.0";"747.0";"753.9";"88";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"13.0";
"07.05.2020 22:30";"15.0";"747.0";"753.9";"94";"Ветер, дующий с юго-востока";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"14.0";
"07.05.2020 22:00";"15.0";"747.0";"753.9";"94";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"14.0";
"07.05.2020 21:30";"15.0";"747.0";"753.9";"94";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"14.0";
"07.05.2020 21:00";"16.0";"747.0";"753.9";"88";"Ветер, дующий с востока";"1";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"14.0";
"07.05.2020 20:30";"17.0";"747.0";"753.9";"83";"Ветер, дующий с запада";"1";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"14.0";
"07.05.2020 20:00";"19.0";"747.1";"753.9";"68";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"13.0";
"07.05.2020 19:30";"20.0";"746.3";"753.1";"64";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"13.0";
"07.05.2020 19:00";"20.0";"746.3";"753.1";"64";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"13.0";
"07.05.2020 18:30";"20.0";"746.3";"753.1";"64";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"13.0";
"07.05.2020 18:00";"18.0";"746.2";"753.1";"94";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"17.0";
"07.05.2020 17:30";"18.0";"746.2";"753.1";"88";"Ветер, дующий с северо-востока";"1";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"16.0";
"07.05.2020 17:00";"19.0";"746.3";"753.1";"88";"Ветер, дующий с востока";"1";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"17.0";
"07.05.2020 16:30";"18.0";"747.0";"753.9";"88";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"16.0";
"07.05.2020 16:00";"17.0";"747.0";"753.9";"83";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 420 м, кучево-дождевые облака";"4.7";"14.0";
"07.05.2020 15:30";"22.0";"746.3";"753.1";"53";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"12.0";
"07.05.2020 15:00";"21.0";"747.1";"753.9";"60";"Ветер, дующий с юго-запада";"2";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"13.0";
"07.05.2020 14:30";"18.0";"747.0";"753.9";"78";"Ветер, дующий с запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"14.0";
"07.05.2020 14:00";"21.0";"747.1";"753.9";"57";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"12.0";
"07.05.2020 13:30";"21.0";"746.3";"753.1";"60";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"13.0";
"07.05.2020 13:00";"21.0";"747.1";"753.9";"57";"Ветер, дующий с юга";"5";"";"";"";"Разорванная (60-90%) 900 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"12.0";
"07.05.2020 12:30";"20.0";"747.1";"753.9";"64";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Разорванная (60-90%) 900 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"13.0";
"07.05.2020 12:00";"20.0";"747.1";"753.9";"60";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 900 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"12.0";
"07.05.2020 11:30";"19.0";"747.1";"753.9";"68";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"13.0";
"07.05.2020 11:00";"19.0";"747.1";"753.9";"68";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"13.0";
"07.05.2020 10:30";"18.0";"747.0";"753.9";"73";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"13.0";
"07.05.2020 10:00";"17.0";"747.0";"753.9";"73";"Ветер, дующий с юга";"7";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"12.0";
"07.05.2020 09:30";"16.0";"747.0";"753.9";"83";"Ветер, дующий с юга";"6";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"13.0";
"07.05.2020 09:00";"14.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"5";"";"";"";"Рассеянная (40-50%) 840 м";"10.0 и более";"12.0";
"07.05.2020 08:30";"14.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"5";"";"";"";"Рассеянная (40-50%) 840 м";"10.0 и более";"12.0";
"07.05.2020 08:00";"13.0";"746.9";"753.9";"94";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"12.0";
"07.05.2020 07:30";"13.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"11.0";
"07.05.2020 07:00";"12.0";"746.9";"753.9";"94";"Ветер, дующий с юго-юго-востока";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 510 м, кучево-дождевые облака";"10.0 и более";"11.0";
"07.05.2020 06:30";"12.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"9.0";"10.0";
"07.05.2020 06:00";"12.0";"746.9";"753.9";"88";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Сплошная (100%) 360 м, кучево-дождевые облака";"7.0";"10.0";
"07.05.2020 05:30";"13.0";"746.9";"753.9";"77";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 390 м, кучево-дождевые облака";"10.0 и более";"9.0";
"07.05.2020 05:00";"14.0";"746.9";"753.9";"63";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 990 м";"10.0 и более";"7.0";
"07.05.2020 04:30";"15.0";"747.0";"753.9";"55";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 04:00";"15.0";"747.0";"753.9";"51";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"07.05.2020 03:30";"15.0";"747.0";"753.9";"51";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"07.05.2020 03:00";"15.0";"747.0";"753.9";"51";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"07.05.2020 02:30";"15.0";"747.0";"753.9";"55";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 02:00";"15.0";"747.0";"753.9";"55";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 01:30";"16.0";"747.0";"753.9";"52";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 01:00";"16.0";"747.0";"753.9";"52";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 00:30";"16.0";"747.0";"753.9";"52";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"07.05.2020 00:00";"16.0";"747.0";"753.9";"52";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 23:30";"17.0";"747.7";"754.6";"45";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"06.05.2020 23:00";"17.0";"747.7";"754.6";"45";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"06.05.2020 22:30";"17.0";"747.7";"754.6";"42";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 22:00";"17.0";"747.7";"754.6";"42";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 21:30";"18.0";"747.7";"754.6";"37";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"06.05.2020 21:00";"18.0";"747.7";"754.6";"37";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"06.05.2020 20:30";"18.0";"748.5";"755.4";"40";"Ветер, дующий с юго-востока";"4";"9";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 20:00";"19.0";"748.5";"755.4";"40";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"06.05.2020 19:30";"19.0";"748.5";"755.4";"46";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 19:00";"18.0";"748.5";"755.4";"49";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 18:30";"18.0";"748.5";"755.4";"52";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 18:00";"19.0";"749.3";"756.2";"49";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 17:30";"19.0";"749.3";"756.2";"49";"Ветер, дующий с юго-юго-востока";"5";"10";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 17:00";"19.0";"749.3";"756.2";"49";"Ветер, дующий с юго-юго-востока";"7";"13";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 16:30";"19.0";"749.3";"756.2";"49";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 16:00";"20.0";"749.4";"756.2";"43";"Ветер, дующий с юго-юго-востока";"7";"12";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 15:30";"22.0";"749.4";"756.2";"38";"Ветер, дующий с юго-юго-востока";"7";"13";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 15:00";"21.0";"749.4";"756.2";"43";"Ветер, дующий с юго-юго-востока";"7";"12";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 14:30";"21.0";"749.4";"756.2";"43";"Ветер, дующий с юго-юго-востока";"6";"11";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 14:00";"21.0";"750.1";"756.9";"40";"Ветер, дующий с юго-юго-востока";"6";"11";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 13:30";"21.0";"750.1";"756.9";"40";"Ветер, дующий с юго-юго-востока";"7";"13";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 13:00";"21.0";"750.1";"756.9";"38";"Ветер, дующий с юга";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 12:30";"22.0";"750.1";"756.9";"38";"Ветер, дующий с юго-юго-востока";"7";"12";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"06.05.2020 12:00";"21.0";"750.9";"757.7";"46";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"06.05.2020 11:30";"21.0";"750.9";"757.7";"46";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"06.05.2020 11:00";"21.0";"750.9";"757.7";"50";"Ветер, дующий с юга";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"06.05.2020 10:30";"22.0";"750.9";"757.7";"47";"Ветер, дующий с юга";"9";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"06.05.2020 10:00";"21.0";"750.9";"757.7";"46";"Ветер, дующий с юга";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"06.05.2020 09:30";"20.0";"751.3";"758.2";"46";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 09:00";"19.0";"751.3";"758.2";"49";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"06.05.2020 08:30";"18.0";"751.3";"758.2";"46";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 08:00";"18.0";"751.3";"758.2";"46";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 07:30";"18.0";"751.3";"758.2";"43";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"06.05.2020 07:00";"18.0";"751.3";"758.2";"40";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 06:30";"17.0";"751.3";"758.2";"42";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 06:00";"16.0";"751.2";"758.2";"42";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"06.05.2020 05:30";"16.0";"751.2";"758.2";"39";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"06.05.2020 05:00";"16.0";"751.2";"758.2";"36";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"06.05.2020 04:30";"16.0";"751.2";"758.2";"36";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"06.05.2020 04:00";"16.0";"751.2";"758.2";"36";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"06.05.2020 03:30";"17.0";"752.1";"759.0";"34";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"06.05.2020 03:00";"18.0";"752.1";"759.0";"30";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"06.05.2020 02:30";"18.0";"751.3";"758.2";"32";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"06.05.2020 02:00";"18.0";"752.1";"759.0";"34";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"06.05.2020 01:30";"18.0";"752.1";"759.0";"40";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"06.05.2020 01:00";"18.0";"752.1";"759.0";"46";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 00:30";"18.0";"752.1";"759.0";"46";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"06.05.2020 00:00";"16.0";"752.7";"759.7";"55";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"05.05.2020 23:30";"16.0";"752.7";"759.7";"55";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"05.05.2020 23:00";"17.0";"752.8";"759.7";"49";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"05.05.2020 22:00";"17.0";"752.8";"759.7";"52";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"05.05.2020 21:00";"21.0";"752.8";"759.7";"40";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"05.05.2020 20:30";"20.0";"752.8";"759.7";"43";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"05.05.2020 20:00";"19.0";"752.8";"759.7";"49";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"8.0";
"05.05.2020 19:30";"19.0";"752.1";"759.0";"52";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"9.0";
"05.05.2020 19:00";"22.0";"752.9";"759.7";"38";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"7.0";
